City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,19.53,62,100,19.57,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,73.18,69,86,1.99,overcast clouds
2,Katsuura,JP,35.1333,140.3,53.76,68,100,12.5,overcast clouds
3,Bethel,US,41.3712,-73.414,29.01,38,100,13.8,overcast clouds
4,Vaini,TO,-21.2,-175.2,80.76,83,75,11.5,broken clouds
5,Vao,NC,-22.6667,167.4833,77.56,71,100,12.66,overcast clouds
6,Wanning,CN,18.8003,110.3967,73.74,90,95,7.18,overcast clouds
7,Mastic Beach,US,40.7668,-72.8521,32.04,30,20,25.32,few clouds
8,Vostok,RU,46.4856,135.8833,27.84,78,99,7.72,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,64.83,71,99,9.57,overcast clouds
10,Paamiut,GL,61.994,-49.6678,27.28,76,94,6.31,overcast clouds
11,Busselton,AU,-33.65,115.3333,62.96,80,99,15.59,overcast clouds
12,Zeya,RU,53.75,127.2667,11.12,96,95,2.82,overcast clouds
13,Qasigiannguit,GL,68.8193,-51.1922,37.65,87,10,7.18,clear sky
14,Saskylakh,RU,71.9167,114.0833,0.55,95,100,11.16,overcast clouds
15,Aku,NG,6.7081,7.3167,81.48,22,20,5.77,few clouds
16,San Isidro,PE,-12.1167,-77.05,71.19,68,0,12.66,clear sky
17,Chokurdakh,RU,70.6333,147.9167,-11.4,99,75,4.63,broken clouds
18,Ahipara,NZ,-35.1667,173.1667,70.05,64,2,7.56,clear sky
19,Cornelius,US,35.4868,-80.8601,66.0,20,0,18.41,clear sky
20,Embu,BR,-23.6489,-46.8522,72.95,94,51,7.49,broken clouds
21,Midlothian,US,32.4824,-96.9945,86.34,39,0,18.99,clear sky
22,Hasaki,JP,35.7333,140.8333,48.6,58,100,10.78,light rain
23,Qaanaaq,GL,77.484,-69.3632,8.42,93,100,1.66,overcast clouds
24,Tromso,NO,69.6496,18.957,24.39,86,75,5.75,broken clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,61,40,20.71,scattered clouds
26,Show Low,US,34.2542,-110.0298,62.89,20,20,24.16,few clouds
27,Sisophon,KH,13.5859,102.9737,77.67,81,76,6.08,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,78.21,69,77,4.81,broken clouds
29,Oktyabrskiy,RU,54.4815,53.471,11.77,93,81,7.36,broken clouds
30,Albany,US,42.6001,-73.9662,22.59,47,100,1.99,overcast clouds
31,Lamu,KE,-2.2717,40.902,82.62,85,4,7.7,clear sky
32,Avarua,CK,-21.2078,-159.775,84.25,79,40,11.5,scattered clouds
33,Upernavik,GL,72.7868,-56.1549,24.75,63,100,5.59,overcast clouds
34,Shizunai,JP,42.3339,142.3669,35.42,76,4,1.3,clear sky
35,Fairbanks,US,64.8378,-147.7164,39.2,41,0,8.05,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,44.71,87,75,9.22,shower rain
37,Kifri,IQ,34.6959,44.9661,53.24,42,0,7.9,clear sky
38,Serenje,ZM,-13.2325,30.2352,62.56,97,74,9.75,broken clouds
39,Les Cayes,HT,18.2,-73.75,82.31,56,90,10.13,overcast clouds
40,Tommot,RU,58.9564,126.2925,17.37,93,100,9.24,light snow
41,Barrow,US,71.2906,-156.7887,-0.38,71,0,23.02,light snow
42,Esperance,AU,-33.8667,121.9,62.44,78,99,9.53,overcast clouds
43,East London,ZA,-33.0153,27.9116,80.37,45,80,7.47,broken clouds
44,Ovalle,CL,-30.5983,-71.2003,81.54,31,0,7.29,clear sky
45,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,87,17,8.5,few clouds
46,Talnakh,RU,69.4865,88.3972,6.21,96,97,9.46,overcast clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,85.96,78,93,11.72,light rain
48,Cape Town,ZA,-33.9258,18.4232,65.26,71,75,13.8,broken clouds
49,Hay River,CA,60.8156,-115.7999,15.78,73,75,4.61,broken clouds
50,Sibu,MY,2.3,111.8167,72.57,99,93,0.89,overcast clouds
51,Hobart,AU,-42.8794,147.3294,58.86,81,75,4.61,broken clouds
52,Krasnoselkup,RU,65.7,82.4667,16.05,95,100,12.21,overcast clouds
53,Shingu,JP,33.7333,135.9833,53.67,62,100,5.64,overcast clouds
54,Juneau,US,58.3019,-134.4197,43.21,65,100,18.41,overcast clouds
55,Mataura,NZ,-46.1927,168.8643,59.76,82,100,0.67,overcast clouds
56,Camacha,PT,33.0833,-16.3333,58.42,77,20,5.75,few clouds
57,Chuy,UY,-33.6971,-53.4616,65.77,73,6,10.0,clear sky
58,Bluff,NZ,-46.6,168.3333,59.83,83,100,6.58,overcast clouds
59,Akdepe,TM,42.0551,59.3788,39.29,46,81,21.16,broken clouds
60,Kaitangata,NZ,-46.2817,169.8464,59.05,86,100,2.06,overcast clouds
61,Nikolskoye,RU,59.7035,30.7861,26.87,93,87,8.75,light snow
62,Airai,TL,-8.9266,125.4092,58.93,91,77,1.43,broken clouds
63,Butaritari,KI,3.0707,172.7902,80.44,74,56,11.95,broken clouds
64,Choma,ZM,-16.8065,26.9531,62.02,97,12,4.47,few clouds
65,Seydi,TM,39.4816,62.9137,47.34,63,83,22.08,broken clouds
66,Golub-Dobrzyn,PL,53.1109,19.0538,46.06,85,4,9.91,clear sky
67,Lebu,CL,-37.6167,-73.65,60.39,76,27,7.74,scattered clouds
68,Atuona,PF,-9.8,-139.0333,79.79,74,100,15.05,overcast clouds
69,Sioux Lookout,CA,50.1001,-91.917,24.87,28,0,2.3,clear sky
70,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,0,10.36,clear sky
71,Virden,US,39.5009,-89.7679,47.71,35,100,8.21,overcast clouds
72,Dikson,RU,73.5069,80.5464,-13.9,100,90,6.8,overcast clouds
73,Tasiilaq,GL,65.6145,-37.6368,24.96,89,100,6.08,overcast clouds
74,Bandarbeyla,SO,9.4942,50.8122,78.35,77,5,11.97,clear sky
75,Saint-Joseph,RE,-21.3667,55.6167,77.38,78,37,3.91,scattered clouds
76,Kavieng,PG,-2.5744,150.7967,82.13,76,98,4.03,light rain
77,Ribeira Grande,PT,38.5167,-28.7,60.62,78,43,4.0,scattered clouds
78,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,20,4.61,few clouds
79,Provideniya,RU,64.3833,-173.3,14.36,73,0,8.99,clear sky
80,Hof,DE,50.3167,11.9167,51.03,62,42,5.75,scattered clouds
81,Georgetown,MY,5.4112,100.3354,80.53,93,40,0.0,thunderstorm
82,Hilo,US,19.7297,-155.09,80.33,65,100,8.99,overcast clouds
83,Puerto Leguizamo,CO,-0.1934,-74.7819,73.98,96,97,3.65,overcast clouds
84,Broken Hill,AU,-31.95,141.4333,58.71,72,0,8.05,clear sky
85,Aklavik,CA,68.2191,-135.0107,-0.22,87,96,4.07,overcast clouds
86,Husavik,IS,66.0449,-17.3389,26.15,74,73,7.29,broken clouds
87,Lorengau,PG,-2.0226,147.2712,80.08,83,100,7.99,overcast clouds
88,Thies,SN,14.8342,-17.1061,68.65,83,0,20.71,clear sky
89,Geraldton,AU,-28.7667,114.6,73.81,78,99,24.16,overcast clouds
90,Buluang,PH,13.3068,123.3425,75.36,93,88,4.79,overcast clouds
91,Ponta Do Sol,PT,32.6667,-17.1,66.06,76,46,6.11,scattered clouds
92,Longyearbyen,SJ,78.2186,15.6401,8.44,61,20,3.44,few clouds
93,Cidreira,BR,-30.1811,-50.2056,69.91,80,0,8.48,clear sky
94,Itoman,JP,26.1247,127.6694,68.02,92,75,9.22,broken clouds
95,Sable-Sur-Sarthe,FR,47.8376,-0.3329,57.45,73,100,2.28,overcast clouds
96,New Norfolk,AU,-42.7826,147.0587,58.5,73,76,1.01,broken clouds
97,Korla,CN,41.7597,86.1469,49.42,34,100,5.14,overcast clouds
98,Bauchi,NG,10.5,10.0,72.37,13,24,6.58,few clouds
99,Teseney,ER,15.11,36.6575,77.29,56,2,8.1,clear sky
100,Mahebourg,MU,-20.4081,57.7,75.49,88,20,4.61,few clouds
101,Half Moon Bay,US,37.4636,-122.4286,63.1,67,0,12.66,clear sky
102,Conakry,GN,9.538,-13.6773,82.47,78,13,4.61,haze
103,Chicama,PE,-7.8447,-79.1469,68.54,68,95,8.48,overcast clouds
104,Opuwo,NA,-18.0607,13.84,69.51,50,70,3.06,broken clouds
105,Bredasdorp,ZA,-34.5322,20.0403,65.3,68,100,2.66,overcast clouds
106,Te Anau,NZ,-45.4167,167.7167,58.98,75,89,1.25,overcast clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,89,40,12.66,light rain
108,Privolzhskiy,RU,51.4,46.0333,29.3,80,100,22.41,light snow
109,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,87,40,4.61,scattered clouds
110,Valdemarpils,LV,57.3707,22.5919,33.28,85,30,17.05,scattered clouds
111,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,13.8,scattered clouds
112,Amapa,BR,1.0,-52.0,71.89,99,100,3.8,moderate rain
113,Port-Gentil,GA,-0.7193,8.7815,78.76,94,20,3.44,few clouds
114,Quatre Cocos,MU,-20.2078,57.7625,75.31,74,8,5.66,clear sky
115,Emerald,AU,-23.5333,148.1667,66.34,88,1,4.61,clear sky
116,Anito,PH,12.4497,125.2886,77.49,91,61,9.66,broken clouds
117,Tiksi,RU,71.6872,128.8694,-16.62,100,77,5.17,broken clouds
118,Nampula,MZ,-15.1165,39.2666,73.35,94,75,8.05,broken clouds
